iter	MultiClass
0	1.07533841
1	1.053411409
2	1.032501567
3	1.012812695
4	0.9940470521
5	0.9759238593
6	0.9586972278
7	0.9424363252
8	0.926566381
9	0.9117295478
10	0.8973540906
11	0.883401378
12	0.8701665335
13	0.8575358648
14	0.8451323425
15	0.8334841293
16	0.822174076
17	0.8114341504
18	0.8009160735
19	0.7907833
20	0.7809464835
21	0.7716078888
22	0.762390546
23	0.7537438666
24	0.7451200447
25	0.7369893256
26	0.7289507507
27	0.7211916443
28	0.7136511723
29	0.706458146
30	0.6994886351
31	0.6926590667
32	0.6860312276
33	0.6796074393
34	0.6735056201
35	0.6675004095
36	0.661680678
37	0.6559979724
38	0.6503866964
39	0.6449989952
40	0.6397408199
41	0.6345978248
42	0.6296337611
43	0.6248924388
44	0.6201712359
45	0.615636643
46	0.61121604
47	0.6069967495
48	0.6028176382
49	0.598678587
50	0.5947017407
51	0.5908722181
52	0.5871384707
53	0.5834163902
54	0.5798282402
55	0.5762962221
56	0.5727515848
57	0.5693176039
58	0.5659638623
59	0.5627485157
60	0.55956186
61	0.5566146722
62	0.55359165
63	0.5507204753
64	0.547903349
65	0.5452130699
66	0.5424248131
67	0.5397616773
68	0.5372584844
69	0.5347741608
70	0.5323985889
71	0.5300008143
72	0.5276282781
73	0.5252565753
74	0.5230260056
75	0.52078365
76	0.5184876031
77	0.5164667985
78	0.5143311112
79	0.5122041145
80	0.5101284877
81	0.5082246491
82	0.5063702756
83	0.5046025701
84	0.502759923
85	0.5009225141
86	0.4991274569
87	0.4973449298
88	0.4955683551
89	0.4939511578
90	0.4922535427
91	0.4907292337
92	0.4891162032
93	0.4876197518
94	0.4860830617
95	0.4846524447
96	0.4831995654
97	0.4817734723
98	0.4803910107
99	0.4790603059
100	0.4777132616
101	0.4764759213
102	0.47512474
103	0.473846655
104	0.472560445
105	0.4714521543
106	0.4702571361
107	0.4691183389
108	0.4679252851
109	0.4669133649
110	0.4658287352
111	0.4646350563
112	0.4634886401
113	0.462354218
114	0.4612502726
115	0.4601856731
116	0.459112115
117	0.4581412967
118	0.4570732149
119	0.4560510565
120	0.4552077698
121	0.4542240346
122	0.4532672938
123	0.4524335907
124	0.4515544106
125	0.4507493686
126	0.4498124198
127	0.4489326444
128	0.4481010842
129	0.4472092253
130	0.4463477241
131	0.4455141697
132	0.444775349
133	0.4439548305
134	0.4431819021
135	0.4423674551
136	0.4416131877
137	0.4407764785
138	0.4400559616
139	0.4393958622
140	0.4387172507
141	0.4380528953
142	0.4373902959
143	0.4366569514
144	0.4359222081
145	0.4352983295
146	0.434731565
147	0.4340991148
148	0.4334510097
149	0.4327205224
150	0.4320192915
151	0.4313075544
152	0.4306391514
153	0.4300747678
154	0.4294377045
155	0.4288323084
156	0.4282460495
157	0.427583956
158	0.4270308226
159	0.4263963784
160	0.4258460724
161	0.4252826412
162	0.4246751022
163	0.4241559871
164	0.4235773176
165	0.4230223389
166	0.4225235813
167	0.4220003293
168	0.4215380306
169	0.4210385587
170	0.4204397698
171	0.4199264882
172	0.4193836823
173	0.4188655196
174	0.4184449477
175	0.4178776177
176	0.417500231
177	0.4170365632
178	0.4164629235
179	0.4159513085
180	0.4154301399
181	0.4150338541
182	0.4145600969
183	0.4141356261
184	0.4136861252
185	0.4132301064
186	0.4128011415
187	0.412418338
188	0.4120363679
189	0.4116086828
190	0.4111807894
191	0.4107734915
192	0.4103667294
193	0.4098767219
194	0.4094744241
195	0.4090670072
196	0.4086542033
197	0.4082715189
198	0.407896156
199	0.4074824593
200	0.4070904592
201	0.4067167333
202	0.4063573528
203	0.4059080007
204	0.4054599284
205	0.4051290901
206	0.404817627
207	0.4044919375
208	0.4041109793
209	0.4038110343
210	0.4034168914
211	0.4031016187
212	0.4027956616
213	0.4024254774
214	0.4020968712
215	0.4018313612
216	0.401420849
217	0.4010826594
218	0.4007660176
219	0.4003449993
220	0.3999741603
221	0.3995721304
222	0.3992072141
223	0.3988845604
224	0.3985044058
225	0.3981621684
226	0.3978313598
227	0.3974737948
228	0.397132867
229	0.3967824153
230	0.3963926772
231	0.3960813927
232	0.39571603
233	0.3953836439
234	0.3950770024
235	0.3948180698
236	0.3944359212
237	0.3941154103
238	0.3938298405
239	0.3935031986
240	0.3932715879
241	0.3929472378
242	0.3926123815
243	0.3922580011
244	0.392031956
245	0.391753916
246	0.3914954002
247	0.3911479544
248	0.3908836944
249	0.3905934519
250	0.3903015427
251	0.3899722817
252	0.3897010276
253	0.3894074814
254	0.3890936969
255	0.3888065199
256	0.3885527958
257	0.3883182684
258	0.3880287104
259	0.3877225451
260	0.3874591779
261	0.3871837571
262	0.3868578295
263	0.3865648488
264	0.3863426431
265	0.3860707937
266	0.3858484391
267	0.3856291203
268	0.3853903667
269	0.3850707487
270	0.3848498525
271	0.3844858886
272	0.3842615399
273	0.3840223101
274	0.3837118589
275	0.3833690859
276	0.3830599145
277	0.3827212486
278	0.3824411551
279	0.3822437116
280	0.3820055234
281	0.3817803117
282	0.3814548603
283	0.3811594391
284	0.3809034828
285	0.3806347585
286	0.3803432064
287	0.3801088576
288	0.3798460857
289	0.379545724
290	0.3792527434
291	0.3790314007
292	0.3788409514
293	0.3786237159
294	0.3783317174
295	0.3780753742
296	0.3778095964
297	0.377562539
298	0.3772785764
299	0.3769877386
300	0.3767279728
301	0.3764794273
302	0.3762215067
303	0.3759762946
304	0.3757557258
305	0.3755570918
306	0.3753628031
307	0.3751430974
308	0.3749826783
309	0.3747253232
310	0.3745651719
311	0.3743384721
312	0.3741222783
313	0.3739465613
314	0.3736324494
315	0.373381642
316	0.3731544064
317	0.3728964858
318	0.3726294877
319	0.3724049307
320	0.3722022193
321	0.3719796266
322	0.3717273608
323	0.371487625
324	0.3712163412
325	0.3709334797
326	0.3707087441
327	0.3705432059
328	0.3702311178
329	0.3699705186
330	0.3696757224
331	0.3695040234
332	0.369148393
333	0.3689231217
334	0.3686923444
335	0.36845118
336	0.3682044203
337	0.3680342391
338	0.3678470041
339	0.3676551262
340	0.3674552422
341	0.367288067
342	0.3670916354
343	0.366900323
344	0.3667033855
345	0.3665041563
346	0.3662139733
347	0.3660984953
348	0.3658207827
349	0.3656139046
350	0.3653744069
351	0.3651204745
352	0.3648958877
353	0.3646839202
354	0.364515495
355	0.3643790048
356	0.3641374535
357	0.3639099798
358	0.3636948873
359	0.3634582467
360	0.3632396422
361	0.3630738659
362	0.3628980001
363	0.3626858838
364	0.362501506
365	0.3623010863
366	0.3621532269
367	0.3619248305
368	0.3617059879
369	0.3615188124
370	0.3613073211
371	0.3611166932
372	0.360915083
373	0.3606837997
374	0.3604270101
375	0.3601308151
376	0.3598777755
377	0.3597041419
378	0.3595738721
379	0.3593747024
380	0.3591869912
381	0.3590423759
382	0.3588829985
383	0.3586805549
384	0.3584323666
385	0.3582984955
386	0.3580409916
387	0.3578493518
388	0.3577456597
389	0.3575945264
390	0.3573969639
391	0.357241783
392	0.3570548456
393	0.356848771
394	0.3566797506
395	0.3565530225
396	0.35637799
397	0.3562361426
398	0.3561213195
399	0.3559304832
400	0.3557685165
401	0.3554986909
402	0.3552852353
403	0.3551237745
404	0.3549506469
405	0.3547265958
406	0.3545424561
407	0.3543685249
408	0.3542203976
409	0.3540637881
410	0.3539326254
411	0.3537637835
412	0.353603424
413	0.3534425584
414	0.3533005027
415	0.3531218988
416	0.3529570748
417	0.352769691
418	0.3525955812
419	0.3524720972
420	0.3523073923
421	0.3520593528
422	0.3519141125
423	0.3517373241
424	0.3516174711
425	0.3514220514
426	0.3512083279
427	0.3510594566
428	0.3508943053
429	0.3507323981
430	0.3506144201
431	0.3504913825
432	0.3502503074
433	0.3500700368
434	0.3498811946
435	0.3497291983
436	0.3495927676
437	0.3493819906
438	0.3491609753
439	0.3489776689
440	0.3488017734
441	0.3486591819
442	0.3484453989
443	0.3482496221
444	0.3480765243
445	0.34784661
446	0.3476295532
447	0.3474244608
448	0.3472414818
449	0.3471007951
450	0.3469264472
451	0.3466906996
452	0.3464910537
453	0.3463223011
454	0.3461908705
455	0.3460537553
456	0.3459539622
457	0.3457847929
458	0.3456088081
459	0.3454842824
460	0.3453493696
461	0.345182998
462	0.3450146026
463	0.3448087661
464	0.344643972
465	0.3445189701
466	0.3443402769
467	0.3440907492
468	0.3439103298
469	0.3437426785
470	0.3436194623
471	0.3434359774
472	0.3432938026
473	0.3431358835
474	0.3430407332
475	0.3429355828
476	0.342748705
477	0.3425574223
478	0.3424583137
479	0.3422880134
480	0.3421344992
481	0.3419656871
482	0.3418626498
483	0.3417484219
484	0.3415363651
485	0.3413449038
486	0.3411526688
487	0.3409491537
488	0.3408874266
489	0.3407481983
490	0.34057766
491	0.3404725989
492	0.3403181918
493	0.3401384569
494	0.3399798533
495	0.3397603559
496	0.3396048773
497	0.339409666
498	0.3392268358
499	0.3390384699
500	0.3389131406
501	0.3387893589
502	0.3386399519
503	0.3385329265
504	0.3383528344
505	0.3381831295
506	0.3380296152
507	0.3379397627
508	0.337743837
509	0.3376144898
510	0.3375174646
511	0.3374052605
512	0.337311509
513	0.3371664175
514	0.3370352251
515	0.336802156
516	0.3366139091
517	0.3365170029
518	0.3364046202
519	0.3361957182
520	0.3360391682
521	0.3358544928
522	0.3357691641
523	0.3356476444
524	0.3355010945
525	0.3353840689
526	0.3352488288
527	0.3351506428
528	0.3349990631
529	0.3348487929
530	0.3347407258
531	0.334582271
532	0.3344824481
533	0.3343453924
534	0.3341281272
535	0.3339538983
536	0.3337215436
537	0.3335891011
538	0.3334536526
539	0.3333280555
