iter	Passed	Remaining
0	16	16850
1	31	15824
2	45	15096
3	59	14878
4	74	14778
5	88	14672
6	102	14601
7	117	14564
8	134	14833
9	148	14744
10	166	14967
11	182	14998
12	196	14941
13	211	14873
14	225	14829
15	240	14785
16	255	14755
17	270	14777
18	285	14742
19	300	14721
20	314	14679
21	330	14697
22	344	14634
23	359	14624
24	373	14570
25	388	14560
26	402	14515
27	416	14472
28	430	14426
29	445	14401
30	460	14380
31	474	14343
32	488	14302
33	504	14326
34	520	14353
35	537	14403
36	553	14406
37	567	14363
38	582	14346
39	596	14321
40	612	14327
41	627	14314
42	642	14310
43	658	14304
44	672	14270
45	688	14279
46	703	14272
47	721	14312
48	738	14335
49	753	14318
50	767	14286
51	782	14270
52	799	14280
53	814	14273
54	830	14264
55	846	14264
56	860	14242
57	874	14210
58	889	14179
59	902	14145
60	917	14124
61	931	14098
62	947	14092
63	962	14073
64	977	14062
65	992	14050
66	1008	14043
67	1022	14015
68	1039	14022
69	1055	14018
70	1071	14017
71	1085	13995
72	1100	13980
73	1116	13966
74	1131	13950
75	1146	13938
76	1163	13952
77	1178	13935
78	1194	13930
79	1212	13944
80	1227	13930
81	1242	13914
82	1258	13903
83	1276	13917
84	1291	13907
85	1307	13897
86	1321	13872
87	1335	13839
88	1351	13830
89	1366	13817
90	1380	13793
91	1396	13780
92	1411	13765
93	1425	13744
94	1440	13726
95	1456	13711
96	1471	13698
97	1489	13713
98	1506	13713
99	1522	13703
100	1537	13689
101	1552	13668
102	1567	13651
103	1583	13640
104	1596	13610
105	1612	13595
106	1627	13582
107	1645	13589
108	1660	13577
109	1676	13565
110	1691	13551
111	1706	13530
112	1722	13523
113	1738	13510
114	1753	13497
115	1769	13484
116	1783	13458
117	1799	13446
118	1815	13442
119	1831	13428
120	1848	13425
121	1863	13409
122	1879	13397
123	1893	13377
124	1908	13356
125	1922	13338
126	1938	13324
127	1956	13327
128	1971	13312
129	1986	13295
130	2001	13279
131	2016	13259
132	2030	13234
133	2046	13225
134	2062	13213
135	2078	13205
136	2093	13189
137	2108	13168
138	2123	13154
139	2138	13135
140	2152	13115
141	2168	13103
142	2183	13084
143	2198	13070
144	2215	13066
145	2231	13052
146	2246	13033
147	2262	13022
148	2278	13012
149	2293	12994
150	2308	12977
151	2323	12962
152	2339	12950
153	2355	12938
154	2372	12933
155	2387	12919
156	2403	12905
157	2419	12891
158	2433	12871
159	2448	12855
160	2464	12841
161	2478	12821
162	2494	12808
163	2509	12791
164	2523	12771
165	2538	12753
166	2554	12740
167	2570	12727
168	2586	12718
169	2601	12699
170	2615	12681
171	2631	12665
172	2647	12657
173	2662	12639
174	2677	12621
175	2692	12606
176	2707	12590
177	2722	12573
178	2737	12554
179	2752	12538
180	2766	12518
181	2782	12507
182	2798	12495
183	2814	12480
184	2830	12467
185	2845	12452
186	2860	12434
187	2874	12417
188	2890	12402
189	2906	12390
190	2923	12381
191	2938	12364
192	2952	12345
193	2968	12333
194	2983	12315
195	2998	12299
196	3013	12282
197	3027	12264
198	3042	12247
199	3058	12232
200	3074	12220
201	3089	12203
202	3104	12187
203	3120	12177
204	3135	12161
205	3150	12144
206	3165	12127
207	3180	12109
208	3195	12095
209	3211	12080
210	3226	12065
211	3242	12053
212	3257	12037
213	3272	12020
214	3287	12004
215	3303	11991
216	3319	11977
217	3337	11972
218	3354	11963
219	3369	11946
220	3385	11934
221	3400	11917
222	3415	11900
223	3431	11888
224	3448	11877
225	3466	11872
226	3482	11858
227	3497	11841
228	3512	11826
229	3528	11811
230	3542	11794
231	3560	11786
232	3576	11773
233	3592	11759
234	3608	11745
235	3622	11727
236	3638	11714
237	3653	11698
238	3668	11682
239	3684	11666
240	3702	11659
241	3717	11644
242	3734	11633
243	3749	11617
244	3764	11599
245	3779	11583
246	3794	11567
247	3810	11553
248	3825	11536
249	3842	11527
250	3857	11511
251	3875	11502
252	3890	11485
253	3905	11469
254	3920	11454
255	3936	11440
256	3954	11432
257	3969	11417
258	3986	11404
259	4001	11388
260	4016	11373
261	4031	11355
262	4046	11339
263	4061	11323
264	4080	11316
265	4095	11300
266	4111	11287
267	4126	11269
268	4140	11252
269	4156	11236
270	4170	11219
271	4185	11203
272	4201	11189
273	4216	11172
274	4231	11155
275	4247	11141
276	4262	11125
277	4276	11107
278	4291	11091
279	4308	11078
280	4324	11065
281	4342	11056
282	4359	11045
283	4375	11031
284	4391	11017
285	4407	11002
286	4424	10991
287	4439	10976
288	4455	10962
289	4471	10947
290	4487	10933
291	4503	10919
292	4519	10905
293	4537	10896
294	4555	10886
295	4571	10871
296	4587	10859
297	4604	10845
298	4621	10834
299	4637	10820
300	4653	10806
301	4669	10791
302	4685	10777
303	4701	10762
304	4716	10747
305	4732	10732
306	4746	10715
307	4762	10700
308	4778	10686
309	4794	10672
310	4810	10657
311	4826	10642
312	4841	10627
313	4857	10611
314	4873	10597
315	4889	10582
316	4905	10568
317	4921	10554
318	4935	10536
319	4950	10520
320	4966	10505
321	4981	10489
322	4997	10474
323	5013	10460
324	5029	10445
325	5044	10429
326	5059	10412
327	5075	10398
328	5093	10387
329	5109	10373
330	5125	10358
331	5140	10343
332	5156	10328
333	5172	10313
334	5188	10298
335	5203	10284
336	5219	10268
337	5234	10253
338	5249	10236
339	5266	10222
340	5281	10205
341	5296	10190
342	5312	10174
343	5327	10159
344	5343	10144
345	5362	10135
346	5377	10120
347	5392	10103
348	5411	10094
349	5427	10080
350	5443	10065
351	5459	10050
352	5475	10035
353	5491	10021
354	5507	10005
355	5522	9990
356	5539	9976
357	5555	9962
358	5571	9947
359	5587	9932
360	5604	9919
361	5619	9904
362	5635	9889
363	5651	9874
364	5667	9859
365	5683	9844
366	5699	9831
367	5718	9820
368	5734	9805
369	5750	9790
370	5767	9778
371	5783	9763
372	5801	9751
373	5817	9737
374	5833	9722
375	5849	9707
376	5865	9692
377	5881	9677
378	5896	9661
379	5912	9646
380	5928	9631
381	5943	9615
382	5958	9599
383	5974	9584
384	5989	9567
385	6004	9551
