iter	Passed	Remaining
0	19	19371
1	35	17842
2	54	18070
3	72	18093
4	88	17593
5	104	17324
6	121	17213
7	136	16946
8	152	16799
9	168	16665
10	184	16553
11	199	16463
12	215	16370
13	232	16379
14	248	16329
15	264	16276
16	281	16306
17	300	16415
18	320	16526
19	338	16597
20	355	16551
21	374	16653
22	391	16627
23	409	16669
24	427	16685
25	443	16610
26	460	16601
27	475	16510
28	491	16452
29	506	16383
30	522	16339
31	539	16329
32	555	16275
33	570	16218
34	586	16181
35	601	16113
36	618	16086
37	632	16014
38	649	15999
39	664	15945
40	681	15931
41	697	15911
42	714	15894
43	730	15876
44	747	15860
45	762	15805
46	780	15819
47	797	15818
48	814	15804
49	830	15776
50	848	15783
51	863	15746
52	879	15712
53	894	15676
54	910	15647
55	927	15639
56	944	15625
57	960	15600
58	977	15591
59	993	15564
60	1009	15541
61	1025	15521
62	1042	15507
63	1059	15488
64	1076	15485
65	1093	15480
66	1108	15442
67	1125	15426
68	1141	15403
69	1156	15370
70	1173	15354
71	1189	15327
72	1205	15308
73	1222	15297
74	1238	15274
75	1254	15257
76	1272	15252
77	1288	15236
78	1305	15220
79	1321	15202
80	1336	15164
81	1353	15156
82	1369	15132
83	1385	15111
84	1401	15089
85	1416	15055
86	1433	15039
87	1449	15017
88	1463	14984
89	1480	14974
90	1498	14969
91	1514	14949
92	1530	14928
93	1545	14895
94	1560	14867
95	1576	14844
96	1593	14838
97	1610	14820
98	1625	14797
99	1641	14776
100	1657	14754
101	1673	14736
102	1690	14717
103	1705	14696
104	1721	14677
105	1738	14659
106	1753	14632
107	1768	14607
108	1783	14582
109	1799	14560
110	1816	14549
111	1832	14531
112	1850	14528
113	1865	14501
114	1882	14486
115	1898	14467
116	1914	14448
117	1929	14423
118	1946	14408
119	1963	14396
120	1980	14384
121	1996	14367
122	2014	14361
123	2030	14342
124	2045	14319
125	2060	14290
126	2075	14266
127	2092	14257
128	2111	14257
129	2127	14240
130	2143	14220
131	2160	14204
132	2176	14189
133	2192	14166
134	2206	14140
135	2222	14119
136	2238	14101
137	2254	14081
138	2271	14071
139	2288	14057
140	2304	14041
141	2320	14023
142	2337	14009
143	2354	13994
144	2370	13980
145	2386	13961
146	2404	13952
147	2420	13936
148	2437	13919
149	2453	13902
150	2468	13878
151	2484	13859
152	2499	13838
153	2515	13819
154	2530	13794
155	2544	13768
156	2561	13753
157	2575	13727
158	2591	13706
159	2609	13698
160	2625	13679
161	2640	13660
162	2655	13633
163	2670	13615
164	2686	13597
165	2702	13575
166	2717	13556
167	2733	13539
168	2749	13518
169	2765	13501
170	2780	13481
171	2796	13463
172	2812	13445
173	2829	13430
174	2845	13412
175	2862	13399
176	2878	13384
177	2895	13369
178	2911	13351
179	2928	13342
180	2944	13322
181	2959	13302
182	2975	13283
183	2991	13267
184	3006	13246
185	3023	13229
186	3040	13218
187	3056	13200
188	3071	13181
189	3087	13162
190	3103	13145
191	3121	13137
192	3137	13119
193	3153	13102
194	3169	13085
195	3185	13066
196	3200	13047
197	3216	13029
198	3233	13014
199	3250	13003
200	3266	12985
201	3281	12965
202	3297	12947
203	3313	12930
204	3331	12919
205	3347	12900
206	3363	12885
207	3379	12866
208	3395	12850
209	3410	12831
210	3427	12817
211	3443	12800
212	3459	12782
213	3475	12765
214	3491	12746
215	3506	12728
216	3523	12712
217	3539	12696
218	3556	12682
219	3571	12663
220	3587	12644
221	3603	12629
222	3619	12611
223	3635	12594
224	3651	12577
225	3669	12567
226	3685	12550
227	3702	12534
228	3718	12517
229	3734	12501
230	3750	12484
231	3766	12467
232	3782	12450
233	3798	12434
234	3814	12418
235	3831	12405
236	3850	12395
237	3866	12378
238	3883	12366
239	3901	12353
240	3916	12336
241	3932	12318
242	3948	12299
243	3964	12282
244	3980	12266
245	3996	12249
246	4013	12234
247	4029	12219
248	4045	12202
249	4061	12184
250	4077	12166
251	4093	12149
252	4108	12131
253	4124	12115
254	4140	12097
255	4155	12077
256	4171	12060
257	4187	12042
258	4203	12025
259	4219	12008
260	4235	11991
261	4251	11975
262	4267	11958
263	4283	11941
264	4298	11922
265	4314	11905
266	4330	11887
267	4345	11868
268	4361	11852
269	4377	11835
270	4394	11821
271	4410	11804
272	4426	11787
273	4442	11770
274	4458	11754
275	4474	11738
276	4491	11723
277	4507	11707
278	4524	11691
279	4540	11675
280	4556	11659
281	4572	11642
282	4588	11626
283	4606	11614
284	4623	11598
285	4638	11580
286	4653	11561
287	4669	11543
288	4685	11527
289	4701	11511
290	4717	11493
291	4732	11474
292	4749	11460
293	4765	11443
294	4781	11427
295	4799	11414
296	4815	11398
297	4832	11383
298	4848	11366
299	4863	11347
300	4878	11329
301	4895	11315
302	4911	11297
303	4927	11280
304	4942	11263
305	4959	11247
306	4975	11231
307	4992	11215
308	5009	11201
309	5025	11185
310	5041	11169
311	5059	11156
312	5075	11140
313	5092	11125
314	5108	11109
315	5125	11094
316	5141	11077
317	5157	11060
318	5173	11044
319	5192	11033
320	5208	11017
321	5226	11005
322	5243	10990
323	5259	10973
324	5275	10957
325	5290	10939
326	5307	10923
327	5323	10906
328	5339	10890
329	5355	10873
330	5370	10855
331	5388	10841
332	5405	10827
333	5422	10812
334	5440	10800
335	5458	10787
336	5474	10771
337	5490	10753
338	5506	10737
339	5523	10721
340	5538	10703
341	5554	10686
342	5570	10669
343	5588	10656
344	5605	10643
345	5621	10626
346	5637	10608
347	5653	10591
348	5669	10574
349	5684	10557
350	5700	10540
351	5718	10526
352	5734	10511
353	5756	10504
354	5774	10491
355	5790	10474
356	5806	10457
357	5822	10442
358	5839	10426
359	5855	10409
360	5871	10392
361	5886	10374
362	5902	10357
363	5921	10346
364	5938	10331
365	5954	10314
366	5971	10299
367	5987	10282
368	6002	10264
369	6018	10247
370	6034	10230
371	6050	10214
372	6067	10198
373	6084	10183
374	6100	10167
375	6118	10153
